year,event,discipline,gender,round_type,round_name,rank,athlete,country,score,points,start_date,end_date,scraped_at
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,1.0,Dohyun LEE,KOR,124.8,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,1.0,Sorato ANRAKU,JPN,124.9,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,3.0,Dayan AKHTAR,GBR,124.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,3.0,Yuji FUJIWAKI,JPN,124.3,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,5.0,Toby ROBERTS,GBR,123.8,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,5.0,Mejdi SCHALCK,FRA,109.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,7.0,Paul JENFT,FRA,94.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,7.0,Anze PEHARC,SLO,109.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,9.0,Tomoa NARASAKI,JPN,94.2,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,9.0,Oren PRIHED,ISR,94.2,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,9.0,Alexander WALLER,USA,94.8,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,12.0,Colin DUFFY,USA,94.6,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,13.0,Meichi NARASAKI,JPN,93.6,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,13.0,Jan-Luca POSCH,AUT,93.6,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,13.0,Rei SUGIMOTO,JPN,94.3,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,16.0,Sam AVEZOU,FRA,94.2,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,17.0,Nikolay RUSEV,BUL,93.8,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,17.0,Thorben Perry BLOEM,GER,84.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,19.0,Sohta AMAGASA,JPN,79.9,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,19.0,Ziqi XU,CHN,83.7,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,21.0,Hannes VAN DUYSEN,BEL,79.2,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,21.0,Jiahao FU,CHN,78.2,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,23.0,Leo FAVOT,FRA,78.6,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Qualification,Qualification,23.0,Benjamin HANNA,USA,78.0,,2025-04-18,2025-04-20,2025-08-22T11:52:26.296541
