year,event,discipline,gender,round_name,rank,athlete,country,score,points,start_date,end_date,scraped_at
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,1.0,Dohyun LEE,KOR,99.3,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,2.0,Sorato ANRAKU,JPN,84.4,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,3.0,Mejdi SCHALCK,FRA,69.3,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,4.0,Oren PRIHED,ISR,69.1,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,5.0,Sam AVEZOU,FRA,68.8,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,6.0,Meichi NARASAKI,JPN,68.3,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,7.0,Tomoa NARASAKI,JPN,59.4,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,7.0,Paul JENFT,FRA,59.4,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,9.0,Sohta AMAGASA,JPN,59.3,,2025-04-18,2025-04-20,2025-08-21T22:30:40.640102
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,10.0,Dayan AKHTAR,GBR,59.1,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,11.0,Rei SUGIMOTO,JPN,44.8,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,12.0,Thorben Perry BLOEM,GER,44.4,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,13.0,Leo FAVOT,FRA,43.5,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,14.0,Ziqi XU,CHN,43.4,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
2025,IFSC World Cup Keqiao 2025,Boulder,Men,Semi-final,15.0,Toby ROBERTS,GBR,39.5,,2025-04-18,2025-04-20,2025-08-21T22:30:40.641103
